u_1	u_2	z_1	z_2	Obj	ϕ_1	ϕ_2
0.275000	0.725000	3.000000	1.477451	-0.207748	0.830897	-0.616255	1.447153
0.276000	0.724000	3.000000	1.478564	-0.207816	0.830300	-0.615863	1.446163
0.277000	0.723000	3.000000	1.479681	-0.207885	0.829703	-0.615471	1.445174
0.278000	0.722000	3.000000	1.480801	-0.207953	0.829106	-0.615079	1.444185
0.279000	0.721000	3.000000	1.481923	-0.208022	0.828509	-0.614688	1.443197
0.280000	0.720000	3.000000	1.483049	-0.208090	0.827913	-0.614296	1.442209
0.281000	0.719000	3.000000	1.484179	-0.208159	0.827317	-0.613905	1.441221
0.282000	0.718000	3.000000	1.485311	-0.208228	0.826720	-0.613514	1.440234
0.283000	0.717000	3.000000	1.486446	-0.208298	0.826124	-0.613123	1.439247
0.284000	0.716000	3.000000	1.487585	-0.208367	0.825529	-0.612732	1.438260
0.285000	0.715000	3.000000	1.488727	-0.208437	0.824933	-0.612341	1.437274
0.286000	0.714000	3.000000	1.489872	-0.208507	0.824338	-0.611951	1.436288
0.287000	0.713000	3.000000	1.491020	-0.208577	0.823742	-0.611561	1.435303
0.288000	0.712000	3.000000	1.492171	-0.208648	0.823147	-0.611170	1.434318
0.289000	0.711000	3.000000	1.493326	-0.208718	0.822552	-0.610781	1.433333
0.290000	0.710000	3.000000	1.494484	-0.208789	0.821958	-0.610391	1.432349
0.291000	0.709000	3.000000	1.495645	-0.208860	0.821363	-0.610001	1.431365
0.292000	0.708000	3.000000	1.496810	-0.208931	0.820769	-0.609612	1.430381
0.293000	0.707000	3.000000	1.497978	-0.209002	0.820175	-0.609223	1.429398
0.294000	0.706000	3.000000	1.499149	-0.209074	0.819581	-0.608834	1.428415
0.295000	0.705000	3.000000	1.500323	-0.209145	0.818987	-0.608445	1.427432
0.296000	0.704000	3.000000	1.501501	-0.209217	0.818393	-0.608057	1.426450
0.297000	0.703000	3.000000	1.502682	-0.209290	0.817800	-0.607668	1.425469
0.298000	0.702000	3.000000	1.503867	-0.209362	0.817207	-0.607280	1.424487
0.299000	0.701000	3.000000	1.505055	-0.209435	0.816614	-0.606892	1.423506
0.300000	0.700000	3.000000	1.506246	-0.209507	0.816021	-0.606505	1.422526
0.301000	0.699000	3.000000	1.507441	-0.209580	0.815429	-0.606117	1.421546
0.302000	0.698000	3.000000	1.508639	-0.209653	0.814836	-0.605730	1.420566
0.303000	0.697000	3.000000	1.509841	-0.209727	0.814244	-0.605342	1.419587
0.304000	0.696000	3.000000	1.511046	-0.209800	0.813652	-0.604955	1.418608
0.305000	0.695000	3.000000	1.512255	-0.209874	0.813060	-0.604569	1.417629
0.306000	0.694000	3.000000	1.513467	-0.209948	0.812469	-0.604182	1.416651
0.307000	0.693000	3.000000	1.514683	-0.210023	0.811877	-0.603796	1.415673
0.308000	0.692000	3.000000	1.515902	-0.210097	0.811286	-0.603410	1.414696
0.309000	0.691000	3.000000	1.517124	-0.210172	0.810695	-0.603024	1.413719
0.310000	0.690000	3.000000	1.518351	-0.210247	0.810104	-0.602638	1.412742
0.311000	0.689000	3.000000	1.519580	-0.210322	0.809514	-0.602252	1.411766
0.312000	0.688000	3.000000	1.520814	-0.210397	0.808923	-0.601867	1.410790
0.313000	0.687000	3.000000	1.522051	-0.210473	0.808333	-0.601482	1.409815
0.314000	0.686000	3.000000	1.523291	-0.210548	0.807743	-0.601097	1.408840
0.315000	0.685000	3.000000	1.524536	-0.210624	0.807154	-0.600712	1.407866
0.316000	0.684000	3.000000	1.525784	-0.210701	0.806564	-0.600327	1.406892
0.317000	0.683000	3.000000	1.527035	-0.210777	0.805975	-0.599943	1.405918
0.318000	0.682000	3.000000	1.528290	-0.210854	0.805386	-0.599559	1.404945
0.319000	0.681000	3.000000	1.529549	-0.210931	0.804797	-0.599175	1.403972
0.320000	0.680000	3.000000	1.530812	-0.211008	0.804208	-0.598791	1.403000
0.321000	0.679000	3.000000	1.532078	-0.211085	0.803620	-0.598408	1.402028
0.322000	0.678000	3.000000	1.533348	-0.211163	0.803031	-0.598025	1.401056
0.323000	0.677000	3.000000	1.534622	-0.211241	0.802443	-0.597642	1.400085
0.324000	0.676000	3.000000	1.535900	-0.211319	0.801856	-0.597259	1.399114
0.325000	0.675000	3.000000	1.537181	-0.211397	0.801268	-0.596876	1.398144
